Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1708371,1001117E,true,Rx,0,8,00,01,00,01,00,00,00,00,
2090377,1001117E,true,Rx,0,8,00,01,00,01,00,00,00,00,
2484429,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
2875425,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
3275409,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
3481074,100011FE,true,Rx,0,8,00,02,00,00,00,00,00,00,
3667065,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
4062462,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
4454301,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
4850472,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
5241445,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
5635570,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
6028553,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
6419479,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
6612694,100011FE,true,Rx,0,8,00,02,00,00,00,00,00,00,
6805563,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
7197044,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
7583610,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
7971599,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
8362570,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
8755537,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
9151607,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
9543406,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
9726849,100011FE,true,Rx,0,8,00,02,00,00,00,00,00,00,
9932570,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
10327586,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
10720618,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
11115470,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
11338179,108182FE,true,Tx,0,8,04,6F,00,00,00,00,00,00,
11339833,108182FE,true,Tx,0,8,05,6F,00,00,00,00,00,00,
11341386,1081827E,true,Rx,0,8,24,6F,00,00,00,00,00,00,
11341663,108182FE,true,Tx,0,8,06,6F,00,00,00,00,00,00,
11343365,108182FE,true,Tx,0,8,07,6F,00,00,00,00,00,00,
11344843,1081827E,true,Rx,0,8,25,6F,00,00,00,00,00,00,
11344882,108182FE,true,Tx,0,8,08,6F,00,00,00,00,00,00,
11346323,108182FE,true,Tx,0,8,09,6F,00,00,00,00,00,00,
11347150,1081827E,true,Rx,0,8,26,6F,00,00,00,00,00,00,
11348498,108182FE,true,Tx,0,8,0A,6F,00,00,00,00,00,00,
11349476,1081827E,true,Rx,0,8,27,6F,00,00,00,00,00,00,
11349875,108182FE,true,Tx,0,8,0B,6F,00,00,00,00,00,00,
