Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
154491,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
543958,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
937825,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
1330810,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
1725868,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
2125867,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
2184185,108182FE,true,Tx,0,8,0F,85,00,00,00,00,00,00,
2186335,108182FE,true,Tx,0,8,00,86,00,00,00,00,00,00,
2187732,108182FE,true,Tx,0,8,01,86,00,00,00,00,00,00,
2189586,1081827E,true,Rx,0,8,2F,85,00,00,00,00,00,00,
2189260,108182FE,true,Tx,0,8,02,86,00,00,00,00,00,00,
2190646,108182FE,true,Tx,0,8,03,86,00,00,00,00,00,00,
2191897,1081827E,true,Rx,0,8,20,86,00,00,00,00,00,00,
2192351,108182FE,true,Tx,0,8,04,86,00,00,00,00,00,00,
2193044,1081827E,true,Rx,0,8,01,86,00,06,00,00,00,00,
2194207,108182FE,true,Tx,0,8,05,86,00,00,00,00,00,00,
2195787,108182FE,true,Tx,0,8,06,86,00,00,00,00,00,00,
2196521,1081827E,true,Rx,0,8,22,86,00,00,00,00,00,00,
2196921,108182FE,true,Tx,0,8,07,86,00,00,00,00,00,00,
2197698,1081827E,true,Rx,0,8,23,86,00,00,00,00,00,00,
2198120,108182FE,true,Tx,0,8,08,86,00,00,00,00,00,00,
2199264,108182FE,true,Tx,0,8,09,86,00,00,00,00,00,00,
2200451,108182FE,true,Tx,0,8,0A,86,00,00,00,00,00,00,
2201191,1081827E,true,Rx,0,8,24,86,00,00,00,00,00,00,
2201575,108182FE,true,Tx,0,8,0B,86,00,00,00,00,00,00,
2202746,108182FE,true,Tx,0,8,0C,86,00,00,00,00,00,00,
2203480,1081827E,true,Rx,0,8,25,86,00,00,00,00,00,00,
2203910,108182FE,true,Tx,0,8,0D,86,00,00,00,00,00,00,
2205085,108182FE,true,Tx,0,8,0E,86,00,00,00,00,00,00,
2205819,1081827E,true,Rx,0,8,26,86,00,00,00,00,00,00,
2206269,108182FE,true,Tx,0,8,0F,86,00,00,00,00,00,00,
